TIRF Data File: Project 1654; Run 3
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none
0.000	0.15	-0.29	-0.070	-0.033	24.861	-138.766	55.30	4.30	-27.96	-1051.98	-2.96	1.13	0.00	0.03	28.50	33.71	36.09	36.93	26.88	-1.179
0.010	0.17	-0.22	-0.064	-0.034	24.858	-198.132	55.25	6.22	-30.03	-1052.72	-3.11	1.73	-0.01	0.03	28.52	33.68	36.07	36.95	26.88	-1.125
0.020	0.17	-0.15	-0.060	-0.034	24.862	-286.155	55.15	3.89	-29.34	-1052.81	-3.18	1.12	0.00	0.03	28.52	33.69	36.09	36.96	26.89	-1.087
0.030	0.17	-0.15	-0.069	-0.033	24.859	-286.155	55.30	4.59	-30.74	-1053.42	-3.08	1.28	0.00	0.03	28.50	33.69	36.02	36.96	26.89	-1.087
0.040	0.17	-0.22	-0.075	-0.034	24.858	-198.132	55.30	5.28	-31.43	-1053.56	-3.34	1.43	-0.01	0.03	28.52	33.73	36.01	37.01	26.87	-1.125
0.050	0.17	-0.22	-0.066	-0.031	24.863	-198.132	55.25	5.97	-31.46	-1054.27	-3.20	1.59	-0.01	0.03	28.52	33.68	35.98	37.02	26.88	-1.125
0.060	0.15	-0.29	-0.070	-0.034	24.858	-138.766	55.25	5.01	-30.04	-1052.82	-3.29	1.29	0.00	0.03	28.53	33.71	35.96	36.99	26.89	-1.179
0.070	0.16	-0.15	-0.064	-0.030	24.856	-278.125	55.36	5.67	-28.00	-1052.25	-3.31	1.43	-0.01	0.03	28.53	33.66	35.99	36.95	26.88	-1.089
0.080	0.17	-0.15	-0.058	-0.039	24.858	-294.186	55.25	4.99	-28.60	-1052.10	-3.20	1.28	0.00	0.03	28.55	33.54	35.99	37.08	26.88	-1.084
0.090	0.17	-0.29	-0.058	-0.034	24.860	-155.775	55.36	4.99	-29.33	-1054.17	-2.67	1.28	0.00	0.03	28.52	33.65	35.98	37.05	26.89	-1.160
0.100	0.17	-0.15	-0.060	-0.037	24.861	-294.186	55.20	6.11	-28.61	-1052.69	-2.88	1.45	-0.01	0.03	28.53	33.68	36.04	37.08	26.89	-1.085
0.110	0.15	-0.22	-0.063	-0.036	24.859	-181.452	55.25	4.29	-27.23	-1052.70	-2.67	1.13	0.00	0.03	28.51	33.65	36.01	37.07	26.87	-1.137
