TIRF Data File: Project 1965; Run 047; Date 08-01-2018; Time 17:00; ISO False; ID ADIV1QH
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.17	466.17	0.020	-0.006	22.33	22.86	83.98	-176.59	44.14	-1052.10	84.91	-41.13	0.1678	-0.0420	33.55	29.61	30.04	29.45	27.22	-0.0230
0.010	40.15	465.62	-0.005	0.012	22.32	22.88	83.93	-157.15	46.19	-1067.19	95.04	-38.26	0.1473	-0.0433	33.60	29.61	30.01	29.43	27.22	-0.0242
0.020	40.14	465.62	-0.009	-0.002	22.33	22.87	83.67	-141.88	52.77	-1090.89	106.71	-34.77	0.1301	-0.0484	33.63	29.59	30.03	29.48	27.20	-0.0236
0.030	40.13	465.49	0.013	-0.018	22.33	22.87	83.07	-129.60	62.75	-1106.50	113.94	-28.69	0.1171	-0.0567	33.66	29.61	30.04	29.46	27.21	-0.0234
0.040	40.11	465.21	-0.003	0.004	22.33	22.87	83.02	-119.25	73.50	-1116.21	115.29	-17.42	0.1068	-0.0659	33.70	29.64	30.12	29.48	27.23	-0.0239
0.050	40.11	465.08	-0.005	-0.004	22.33	22.88	83.47	-118.10	81.66	-1108.73	107.01	-4.96	0.1065	-0.0737	33.69	29.65	30.15	29.46	27.22	-0.0238
0.060	40.11	465.42	-0.011	-0.010	22.33	22.86	84.03	-129.90	84.12	-1092.35	92.10	3.50	0.1189	-0.0770	33.69	29.64	30.15	29.48	27.20	-0.0232
0.070	40.11	465.49	-0.014	-0.010	22.33	22.86	83.98	-153.83	82.39	-1064.98	74.72	4.19	0.1444	-0.0774	33.69	29.68	30.17	29.50	27.20	-0.0230
0.080	40.11	466.10	-0.002	0.022	22.32	22.83	83.62	-181.72	72.75	-1043.45	61.88	-1.56	0.1742	-0.0697	33.68	29.64	30.17	29.50	27.18	-0.0221
0.090	40.11	466.24	-0.017	-0.006	22.33	22.82	83.02	-203.08	64.04	-1025.67	54.76	-10.39	0.1980	-0.0624	33.66	29.65	30.17	29.52	27.21	-0.0213
0.100	40.11	466.24	0.002	-0.020	22.34	22.82	83.12	-220.26	54.62	-1015.81	53.69	-22.51	0.2168	-0.0538	33.65	29.70	30.14	29.48	27.21	-0.0212
0.110	40.11	466.03	0.018	-0.004	22.33	22.83	83.57	-228.87	47.72	-1019.21	60.80	-33.71	0.2246	-0.0468	33.64	29.67	30.09	29.48	27.22	-0.0219
0.120	40.11	465.69	-0.005	-0.013	22.33	22.85	84.03	-235.22	41.89	-1030.36	72.22	-40.99	0.2283	-0.0407	33.62	29.68	30.04	29.47	27.22	-0.0225
0.130	40.12	465.62	0.007	0.015	22.32	22.86	84.13	-241.07	38.34	-1052.88	86.32	-42.87	0.2290	-0.0364	33.59	29.67	30.06	29.46	27.20	-0.0233
0.140	40.11	465.35	0.018	0.010	22.32	22.86	83.72	-253.26	41.36	-1068.96	96.52	-42.65	0.2369	-0.0387	33.59	29.65	30.06	29.46	27.21	-0.0237
0.150	40.11	465.21	0.014	-0.002	22.33	22.87	83.17	-261.49	49.98	-1090.20	107.32	-40.24	0.2399	-0.0458	33.59	29.64	30.04	29.46	27.22	-0.0237
0.160	40.11	465.15	0.013	-0.023	22.34	22.87	83.07	-257.33	62.79	-1105.32	114.45	-33.48	0.2328	-0.0568	33.63	29.62	30.04	29.49	27.21	-0.0233
0.170	40.12	465.42	-0.001	-0.004	22.33	22.87	83.57	-236.26	71.46	-1111.92	114.07	-20.56	0.2125	-0.0643	33.66	29.62	30.09	29.50	27.20	-0.0236
0.180	40.13	465.56	-0.006	-0.013	22.34	22.87	84.18	-208.51	80.99	-1104.34	104.99	-6.43	0.1888	-0.0733	33.66	29.62	30.11	29.52	27.22	-0.0231
0.190	40.13	465.69	0.013	0.010	22.33	22.86	84.13	-184.96	83.80	-1084.58	88.83	2.48	0.1705	-0.0773	33.67	29.67	30.09	29.55	27.22	-0.0233
0.200	40.14	465.76	0.023	-0.003	22.33	22.86	83.77	-170.19	83.64	-1061.68	72.56	3.68	0.1603	-0.0788	33.67	29.67	30.11	29.56	27.20	-0.0232
0.210	40.15	465.83	0.008	0.015	22.32	22.87	83.17	-167.94	76.29	-1041.01	60.11	-2.00	0.1613	-0.0733	33.68	29.68	30.12	29.56	27.20	-0.0238
0.220	40.16	465.83	-0.009	0.012	22.32	22.87	83.17	-173.58	65.88	-1024.52	53.12	-11.36	0.1694	-0.0643	33.69	29.67	30.09	29.53	27.22	-0.0239
0.230	40.16	466.03	-0.011	0.004	22.33	22.86	83.67	-183.46	54.98	-1015.02	52.48	-23.04	0.1807	-0.0542	33.71	29.62	30.06	29.52	27.20	-0.0233
0.240	40.17	465.76	-0.003	-0.029	22.34	22.88	84.18	-198.10	48.06	-1019.49	60.66	-34.21	0.1943	-0.0471	33.73	29.62	30.06	29.53	27.19	-0.0235
0.250	40.17	465.90	-0.015	-0.013	22.33	22.87	84.18	-211.68	39.82	-1033.13	72.78	-40.78	0.2049	-0.0385	33.76	29.56	30.01	29.54	27.21	-0.0235
0.260	40.19	465.62	0.002	0.020	22.32	22.89	83.72	-229.20	37.58	-1052.87	86.19	-43.05	0.2177	-0.0357	33.79	29.50	30.01	29.54	27.21	-0.0251
0.270	40.19	465.69	-0.012	0.009	22.33	22.89	83.12	-243.89	42.09	-1073.61	98.25	-41.74	0.2272	-0.0392	33.81	29.50	30.01	29.54	27.20	-0.0248
0.280	40.20	465.56	0.014	-0.000	22.33	22.90	83.17	-257.73	52.06	-1093.51	108.72	-39.73	0.2357	-0.0476	33.85	29.50	29.99	29.53	27.15	-0.0252
0.290	40.20	465.56	0.004	0.026	22.32	22.90	83.62	-254.76	63.58	-1108.83	115.08	-32.28	0.2298	-0.0573	33.86	29.49	30.03	29.53	27.16	-0.0254
0.300	40.21	465.62	0.005	0.012	22.33	22.91	84.03	-238.19	72.65	-1114.15	114.46	-19.61	0.2138	-0.0652	33.88	29.50	30.07	29.50	27.18	-0.0253
0.310	40.21	465.76	0.014	0.001	22.33	22.90	83.93	-217.94	80.10	-1104.55	104.45	-6.48	0.1973	-0.0725	33.88	29.56	30.09	29.50	27.14	-0.0252
0.320	40.21	465.90	-0.003	-0.007	22.33	22.90	83.72	-203.74	82.61	-1084.88	88.45	1.09	0.1878	-0.0761	33.89	29.53	30.12	29.47	27.20	-0.0248
0.330	40.23	466.24	0.021	-0.006	22.33	22.89	83.02	-200.91	80.91	-1061.94	73.04	0.64	0.1892	-0.0762	33.89	29.53	30.14	29.45	27.20	-0.0243
0.340	40.23	466.38	0.010	0.016	22.32	22.88	82.97	-202.03	73.52	-1044.49	61.86	-5.11	0.1934	-0.0704	33.90	29.56	30.15	29.45	27.19	-0.0245
0.350	40.22	466.51	0.018	0.020	22.32	22.87	83.62	-200.13	65.10	-1026.68	54.61	-13.89	0.1949	-0.0634	33.91	29.59	30.15	29.43	27.19	-0.0240
0.360	40.21	466.45	0.014	0.007	22.32	22.86	84.13	-191.24	56.38	-1021.34	55.42	-24.18	0.1872	-0.0552	33.91	29.56	30.15	29.41	27.20	-0.0237
0.370	40.21	466.10	0.007	-0.007	22.33	22.89	83.98	-177.55	50.58	-1025.58	62.84	-34.06	0.1731	-0.0493	33.90	29.52	30.14	29.41	27.19	-0.0243
0.380	40.21	465.90	0.020	-0.019	22.33	22.89	83.67	-157.34	44.78	-1039.23	74.27	-38.82	0.1514	-0.0431	33.86	29.50	30.12	29.42	27.18	-0.0244
0.390	40.21	465.76	-0.015	-0.009	22.33	22.90	83.07	-136.66	44.90	-1062.45	87.95	-38.17	0.1286	-0.0423	33.83	29.49	30.14	29.41	27.19	-0.0250
0.400	40.21	465.56	-0.005	0.003	22.32	22.91	83.07	-121.90	47.70	-1085.32	99.00	-34.97	0.1123	-0.0439	33.80	29.50	30.09	29.44	27.20	-0.0256
0.410	40.20	465.15	0.005	-0.010	22.33	22.93	83.47	-114.50	56.31	-1109.76	109.95	-30.67	0.1032	-0.0507	33.77	29.47	30.06	29.45	27.18	-0.0261
0.420	40.21	464.94	-0.011	-0.004	22.33	22.94	84.03	-110.00	68.07	-1123.77	115.97	-23.05	0.0979	-0.0606	33.75	29.53	30.07	29.46	27.17	-0.0266
0.430	40.20	464.87	-0.008	0.003	22.33	22.94	84.08	-110.52	77.56	-1123.60	113.65	-11.73	0.0984	-0.0690	33.75	29.55	30.11	29.47	27.15	-0.0265
0.440	40.19	464.87	0.001	0.007	22.32	22.93	83.62	-117.73	84.83	-1108.98	102.41	-0.74	0.1062	-0.0765	33.75	29.59	30.09	29.48	27.15	-0.0266
0.450	40.18	465.15	-0.005	-0.004	22.33	22.91	83.02	-138.21	88.08	-1086.68	86.68	3.85	0.1272	-0.0811	33.75	29.59	30.09	29.48	27.17	-0.0255
0.460	40.16	465.69	0.001	-0.009	22.33	22.88	83.02	-162.18	83.00	-1063.16	71.69	2.28	0.1525	-0.0781	33.75	29.62	30.11	29.51	27.18	-0.0238
0.470	40.15	465.90	-0.002	-0.028	22.34	22.86	83.52	-184.21	73.39	-1044.18	61.43	-4.03	0.1764	-0.0703	33.72	29.62	30.04	29.50	27.20	-0.0228
0.480	40.14	466.10	-0.018	-0.006	22.33	22.84	83.98	-195.92	61.97	-1026.59	54.51	-13.37	0.1908	-0.0604	33.72	29.59	30.07	29.53	27.18	-0.0224
0.490	40.13	466.10	0.016	0.009	22.32	22.84	84.03	-198.61	52.22	-1021.35	56.03	-24.89	0.1945	-0.0511	33.70	29.59	30.07	29.55	27.17	-0.0224
0.500	40.12	465.97	-0.008	-0.004	22.33	22.84	83.72	-192.92	47.11	-1025.19	64.01	-34.93	0.1882	-0.0460	33.70	29.58	30.04	29.56	27.19	-0.0224
0.510	40.10	465.62	-0.021	-0.006	22.33	22.84	83.02	-178.67	43.27	-1039.17	76.30	-39.38	0.1719	-0.0416	33.70	29.58	30.01	29.56	27.19	-0.0224
0.520	40.09	465.28	0.010	0.004	22.32	22.86	83.02	-164.54	42.70	-1058.80	89.06	-39.43	0.1554	-0.0403	33.73	29.58	30.03	29.55	27.17	-0.0234
0.530	40.09	465.21	0.005	-0.009	22.33	22.86	83.57	-153.26	47.91	-1080.62	100.91	-37.02	0.1418	-0.0443	33.70	29.52	30.04	29.56	27.18	-0.0230
0.540	40.07	464.87	-0.005	-0.018	22.33	22.87	84.18	-145.56	57.17	-1102.19	111.27	-33.00	0.1321	-0.0519	33.69	29.50	29.98	29.56	27.19	-0.0234
0.550	40.08	464.80	0.010	0.009	22.32	22.87	84.13	-138.12	66.58	-1112.83	115.72	-24.89	0.1241	-0.0598	33.68	29.50	29.98	29.56	27.18	-0.0241
0.560	40.08	464.87	-0.005	0.017	22.32	22.87	83.67	-131.44	76.04	-1115.05	113.55	-12.29	0.1179	-0.0682	33.65	29.52	30.03	29.52	27.16	-0.0242
0.570	40.08	464.74	-0.002	-0.020	22.34	22.88	83.12	-134.72	81.70	-1102.53	101.84	-0.93	0.1222	-0.0741	33.64	29.55	30.01	29.53	27.18	-0.0237
0.580	40.07	465.21	-0.001	-0.015	22.33	22.85	83.07	-149.18	82.66	-1080.47	85.39	4.06	0.1381	-0.0765	33.64	29.58	30.03	29.54	27.18	-0.0227
0.590	40.07	465.42	-0.020	-0.002	22.33	22.84	83.62	-169.46	75.94	-1058.87	69.75	2.28	0.1600	-0.0717	33.65	29.58	30.06	29.55	27.17	-0.0224
0.600	40.06	465.62	-0.014	-0.009	22.33	22.82	84.13	-188.53	69.65	-1038.56	59.38	-4.40	0.1815	-0.0671	33.67	29.62	30.11	29.54	27.12	-0.0214
0.610	40.06	465.97	0.013	0.012	22.32	22.80	84.23	-200.18	56.87	-1022.89	53.10	-14.16	0.1957	-0.0556	33.68	29.64	30.09	29.51	27.18	-0.0211
0.620	40.06	465.90	0.007	-0.015	22.34	22.81	83.77	-209.17	49.06	-1017.55	55.26	-26.24	0.2056	-0.0482	33.69	29.65	30.11	29.50	27.17	-0.0208
0.630	40.07	465.69	0.013	-0.007	22.33	22.83	83.22	-214.32	42.31	-1024.36	64.54	-36.21	0.2092	-0.0413	33.69	29.64	30.07	29.50	27.16	-0.0218
0.640	40.09	465.35	-0.002	-0.015	22.33	22.85	83.17	-218.51	40.64	-1040.96	78.12	-41.18	0.2099	-0.0390	33.68	29.62	30.07	29.50	27.17	-0.0228
0.650	40.10	465.28	-0.014	-0.002	22.33	22.86	83.67	-224.35	40.71	-1059.88	90.80	-41.94	0.2117	-0.0384	33.66	29.59	30.03	29.48	27.18	-0.0235
0.660	40.12	465.21	-0.024	0.006	22.33	22.88	84.23	-229.32	47.75	-1081.20	102.27	-40.86	0.2121	-0.0442	33.63	29.56	29.99	29.50	27.16	-0.0239
0.670	40.13	465.01	0.010	0.017	22.32	22.89	84.23	-225.01	57.44	-1099.41	111.44	-36.91	0.2047	-0.0522	33.62	29.50	30.03	29.48	27.17	-0.0251
0.680	40.14	465.28	0.008	0.004	22.33	22.89	83.83	-208.92	68.01	-1112.74	116.09	-28.07	0.1878	-0.0611	33.61	29.49	30.03	29.48	27.18	-0.0244
0.690	40.14	465.42	-0.005	-0.003	22.33	22.88	83.22	-183.23	74.83	-1112.96	111.87	-13.52	0.1646	-0.0672	33.60	29.53	30.01	29.49	27.17	-0.0239
