TIRF Data File: Project 1965; Run 051; Date 08-01-2018; Time 19:19; ISO False; ID c1wP2-o
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.20	425.16	-0.012	0.001	24.92	25.08	83.88	-218.18	-239.62	-1012.65	87.42	-5.72	0.2155	0.2366	33.08	28.37	26.63	28.41	26.83	-0.0064
0.010	40.21	424.89	-0.012	-0.025	24.93	25.10	83.17	-192.65	-234.99	-1017.93	91.44	-12.87	0.1893	0.2308	33.08	28.36	26.63	28.41	26.82	-0.0068
0.020	40.22	424.75	0.001	-0.026	24.93	25.12	83.02	-172.18	-236.84	-1035.84	100.99	-19.91	0.1662	0.2286	33.09	28.36	26.57	28.41	26.83	-0.0073
0.030	40.23	424.69	0.014	0.009	24.92	25.13	83.62	-154.89	-248.14	-1055.38	111.33	-23.15	0.1468	0.2351	33.10	28.27	26.62	28.39	26.84	-0.0084
0.040	40.24	424.75	-0.001	0.007	24.92	25.13	84.03	-151.63	-256.23	-1072.68	121.66	-24.28	0.1414	0.2389	33.10	28.21	26.57	28.37	26.82	-0.0084
0.050	40.26	424.48	-0.006	-0.025	24.93	25.16	84.03	-160.45	-262.66	-1084.46	129.45	-23.12	0.1479	0.2422	33.12	28.19	26.55	28.34	26.83	-0.0091
0.060	40.25	424.69	-0.008	-0.018	24.93	25.14	83.77	-176.18	-266.11	-1089.37	134.58	-20.84	0.1617	0.2443	33.12	28.15	26.57	28.29	26.84	-0.0083
0.070	40.26	424.34	0.005	0.016	24.91	25.16	83.17	-197.14	-266.40	-1088.61	138.78	-18.53	0.1811	0.2447	33.12	28.15	26.55	28.27	26.83	-0.0101
0.080	40.25	424.55	0.002	0.013	24.92	25.15	83.02	-206.70	-264.97	-1083.79	139.64	-12.18	0.1907	0.2445	33.11	28.21	26.54	28.29	26.82	-0.0091
0.090	40.24	424.55	0.023	-0.012	24.92	25.14	83.47	-211.63	-266.19	-1074.24	135.11	-4.20	0.1970	0.2478	33.09	28.25	26.55	28.29	26.83	-0.0087
0.100	40.23	424.48	-0.006	-0.031	24.93	25.14	83.93	-213.53	-261.37	-1055.55	123.65	2.78	0.2023	0.2476	33.06	28.28	26.57	28.32	26.84	-0.0081
0.110	40.22	424.75	0.016	0.001	24.92	25.12	84.03	-209.73	-258.63	-1037.12	108.38	6.88	0.2022	0.2494	33.04	28.31	26.57	28.34	26.83	-0.0077
0.120	40.21	424.69	-0.005	-0.019	24.93	25.12	83.67	-197.74	-252.44	-1020.81	94.26	7.01	0.1937	0.2473	33.05	28.28	26.59	28.39	26.82	-0.0076
0.130	40.21	424.96	0.011	-0.007	24.93	25.10	83.07	-173.51	-248.62	-1011.05	84.52	5.17	0.1716	0.2459	33.04	28.30	26.57	28.42	26.83	-0.0069
0.140	40.21	424.62	0.004	0.013	24.92	25.12	83.07	-145.46	-241.28	-1007.01	81.20	0.31	0.1444	0.2396	33.06	28.27	26.57	28.45	26.84	-0.0079
0.150	40.20	424.48	-0.009	0.004	24.91	25.12	83.62	-122.32	-237.59	-1011.85	84.51	-6.59	0.1209	0.2348	33.05	28.24	26.52	28.50	26.82	-0.0082
0.160	40.18	424.55	0.005	0.012	24.92	25.11	84.08	-108.93	-236.76	-1027.81	93.80	-13.94	0.1060	0.2304	33.03	28.16	26.49	28.52	26.83	-0.0076
0.170	40.17	424.14	-0.009	-0.004	24.92	25.12	84.13	-108.67	-243.23	-1049.40	106.59	-19.39	0.1036	0.2318	33.00	28.15	26.46	28.55	26.84	-0.0080
0.180	40.16	424.14	0.007	-0.012	24.92	25.12	83.72	-123.23	-253.32	-1069.08	117.97	-22.73	0.1153	0.2369	33.03	28.07	26.42	28.55	26.87	-0.0078
0.190	40.14	423.66	-0.009	-0.006	24.92	25.13	83.22	-146.41	-259.42	-1083.87	128.57	-22.98	0.1351	0.2393	33.03	28.01	26.41	28.55	26.82	-0.0083
0.200	40.13	424.00	0.010	0.004	24.92	25.10	83.02	-174.27	-263.55	-1088.98	135.54	-21.79	0.1600	0.2420	33.05	27.98	26.41	28.52	26.83	-0.0074
0.210	40.12	423.86	0.002	-0.015	24.92	25.11	83.52	-196.19	-263.90	-1092.40	141.94	-18.22	0.1796	0.2416	33.04	28.07	26.36	28.51	26.84	-0.0073
0.220	40.11	424.14	-0.012	-0.022	24.93	25.08	84.13	-207.93	-263.08	-1090.25	144.68	-12.19	0.1907	0.2413	33.05	28.19	26.39	28.50	26.82	-0.0062
0.230	40.10	424.28	0.011	-0.010	24.92	25.07	84.03	-207.30	-261.23	-1078.91	140.79	-3.38	0.1921	0.2421	33.03	28.27	26.33	28.51	26.82	-0.0060
0.240	40.08	424.21	-0.005	-0.018	24.93	25.06	83.72	-204.48	-257.26	-1060.53	128.82	4.41	0.1928	0.2426	33.05	28.31	26.33	28.54	26.84	-0.0056
0.250	40.09	424.41	0.011	-0.018	24.93	25.06	83.07	-205.34	-253.43	-1044.82	114.52	8.41	0.1965	0.2426	33.06	28.33	26.34	28.55	26.83	-0.0052
0.260	40.09	424.62	0.007	0.012	24.91	25.04	83.07	-208.42	-248.58	-1026.21	98.80	8.52	0.2031	0.2422	33.04	28.36	26.36	28.55	26.82	-0.0053
0.270	40.10	424.69	0.023	0.010	24.92	25.05	83.52	-209.83	-244.64	-1013.58	87.35	4.42	0.2070	0.2414	33.05	28.37	26.34	28.59	26.83	-0.0053
0.280	40.10	424.62	0.005	-0.020	24.93	25.05	84.08	-202.50	-237.35	-1009.46	84.10	-2.01	0.2006	0.2351	33.04	28.39	26.36	28.62	26.81	-0.0049
0.290	40.11	424.75	-0.008	-0.013	24.93	25.05	84.13	-188.75	-232.48	-1013.80	87.17	-9.83	0.1862	0.2293	33.04	28.40	26.36	28.67	26.81	-0.0048
0.300	40.11	424.48	0.001	0.015	24.91	25.06	83.83	-174.66	-231.91	-1027.67	95.85	-17.01	0.1700	0.2257	33.04	28.34	26.39	28.68	26.83	-0.0059
0.310	40.10	424.41	-0.014	-0.026	24.93	25.06	83.22	-165.32	-238.09	-1047.50	107.67	-21.72	0.1578	0.2273	33.04	28.27	26.39	28.65	26.84	-0.0053
0.320	40.10	424.14	0.013	-0.012	24.92	25.08	83.02	-168.26	-249.83	-1068.32	119.49	-23.80	0.1575	0.2339	33.07	28.27	26.39	28.62	26.83	-0.0063
0.330	40.10	424.07	-0.011	-0.023	24.93	25.08	83.62	-183.09	-259.21	-1084.00	129.49	-24.17	0.1689	0.2391	33.08	28.16	26.38	28.60	26.82	-0.0060
0.340	40.10	424.21	-0.008	-0.015	24.93	25.08	84.03	-203.88	-264.70	-1093.78	137.90	-23.11	0.1864	0.2420	33.12	28.13	26.38	28.53	26.83	-0.0060
0.350	40.10	424.21	0.008	0.009	24.92	25.07	84.08	-221.64	-266.24	-1094.77	142.91	-20.16	0.2025	0.2432	33.14	28.16	26.33	28.49	26.84	-0.0061
0.360	40.11	424.28	-0.021	-0.006	24.92	25.08	83.72	-229.15	-266.02	-1095.46	146.26	-14.04	0.2092	0.2428	33.17	28.27	26.30	28.47	26.82	-0.0062
0.370	40.12	424.55	-0.001	-0.012	24.92	25.07	83.12	-230.58	-266.76	-1084.91	142.05	-5.69	0.2125	0.2459	33.15	28.40	26.28	28.43	26.82	-0.0059
0.380	40.13	424.69	0.007	-0.010	24.92	25.07	82.56	-231.65	-264.25	-1069.53	131.43	1.75	0.2166	0.2471	33.14	28.45	26.34	28.44	26.84	-0.0056
0.390	40.15	424.62	-0.008	-0.004	24.92	25.08	82.76	-231.17	-259.81	-1048.82	116.07	6.48	0.2204	0.2477	33.13	28.46	26.36	28.45	26.83	-0.0066
0.400	40.16	424.96	0.007	0.004	24.92	25.07	83.37	-228.80	-254.70	-1028.55	100.31	7.13	0.2224	0.2476	33.12	28.46	26.42	28.47	26.82	-0.0059
0.410	40.17	425.23	0.018	0.012	24.92	25.06	83.77	-214.21	-248.78	-1015.21	88.98	5.35	0.2110	0.2451	33.11	28.49	26.49	28.48	26.83	-0.0057
0.420	40.18	424.89	-0.011	-0.016	24.93	25.09	83.52	-192.62	-240.87	-1008.96	84.17	0.05	0.1909	0.2387	33.11	28.52	26.54	28.51	26.84	-0.0062
0.430	40.19	424.82	-0.001	-0.016	24.93	25.10	83.22	-165.18	-233.84	-1011.14	85.99	-6.92	0.1634	0.2313	33.13	28.48	26.59	28.55	26.83	-0.0067
0.440	40.19	424.96	0.013	0.013	24.92	25.09	82.66	-143.41	-234.00	-1026.83	94.37	-14.80	0.1397	0.2279	33.10	28.45	26.59	28.54	26.82	-0.0068
0.450	40.19	424.48	0.004	-0.022	24.93	25.11	82.97	-131.41	-238.86	-1044.69	105.74	-21.16	0.1258	0.2286	33.09	28.39	26.55	28.52	26.84	-0.0073
0.460	40.19	424.34	0.011	0.010	24.92	25.12	83.67	-130.11	-251.51	-1063.24	116.03	-23.59	0.1224	0.2366	33.10	28.33	26.52	28.51	26.83	-0.0080
0.470	40.18	424.14	0.007	-0.013	24.93	25.13	84.03	-146.29	-258.67	-1079.69	126.44	-24.70	0.1355	0.2396	33.13	28.31	26.52	28.48	26.82	-0.0081
0.480	40.17	424.41	0.017	-0.012	24.93	25.11	83.98	-168.66	-265.50	-1085.30	132.38	-23.40	0.1554	0.2446	33.16	28.27	26.46	28.45	26.83	-0.0072
0.490	40.18	424.14	-0.008	-0.016	24.93	25.13	83.27	-190.34	-266.73	-1088.31	138.08	-20.82	0.1749	0.2451	33.18	28.28	26.41	28.41	26.84	-0.0080
0.500	40.17	424.48	0.013	0.015	24.91	25.10	82.66	-200.31	-267.73	-1085.64	140.21	-15.59	0.1845	0.2466	33.20	28.37	26.39	28.41	26.83	-0.0077
0.510	40.18	424.34	0.004	-0.015	24.92	25.12	82.56	-194.34	-263.96	-1079.59	139.59	-6.53	0.1800	0.2445	33.20	28.46	26.36	28.41	26.82	-0.0077
0.520	40.18	424.62	0.010	0.007	24.92	25.10	83.07	-182.00	-261.69	-1061.05	128.68	2.48	0.1715	0.2466	33.20	28.46	26.36	28.42	26.84	-0.0072
0.530	40.19	424.62	0.007	0.004	24.92	25.11	83.52	-167.17	-258.54	-1045.26	114.28	9.51	0.1599	0.2473	33.19	28.48	26.33	28.44	26.80	-0.0076
