TIRF Data File: Project 1965; Run 056; Date 08-01-2018; Time 21:22; ISO False; ID VeDk2z8
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.09	425.29	0.005	-0.002	24.79	25.00	82.97	-153.58	-265.46	-1084.61	117.62	4.70	0.1416	0.2448	32.75	27.70	25.99	28.51	27.00	-0.0087
0.010	40.10	425.49	-0.018	-0.022	24.79	25.00	82.51	-175.93	-263.40	-1051.51	102.76	7.20	0.1673	0.2505	32.74	27.66	26.01	28.55	27.00	-0.0082
0.020	40.11	425.97	-0.009	-0.012	24.79	24.98	82.56	-201.70	-267.18	-1021.75	89.49	4.26	0.1974	0.2615	32.79	27.70	25.99	28.59	26.99	-0.0074
0.030	40.13	426.18	0.021	0.016	24.78	24.98	82.91	-222.95	-268.98	-1001.79	81.53	-3.55	0.2226	0.2685	32.83	27.74	25.97	28.62	26.99	-0.0078
0.040	40.14	426.11	-0.021	-0.009	24.79	24.99	83.07	-236.59	-265.09	-993.38	81.38	-15.89	0.2382	0.2669	32.92	27.76	25.94	28.63	27.01	-0.0079
0.050	40.15	426.04	0.013	0.016	24.78	25.00	82.71	-237.05	-261.69	-1000.74	89.22	-27.93	0.2369	0.2615	33.00	27.76	25.93	28.63	27.00	-0.0089
0.060	40.16	425.97	-0.020	-0.018	24.80	25.01	82.41	-226.85	-266.51	-1020.64	102.35	-36.20	0.2223	0.2611	33.09	27.74	25.88	28.62	26.99	-0.0086
0.070	40.17	425.90	-0.001	-0.025	24.80	25.02	82.56	-214.49	-277.25	-1047.61	116.17	-39.28	0.2047	0.2646	33.22	27.73	25.85	28.62	27.00	-0.0088
0.080	40.18	425.63	0.016	0.006	24.79	25.04	82.86	-205.58	-287.82	-1075.07	128.18	-38.44	0.1912	0.2677	33.29	27.70	25.85	28.60	27.01	-0.0102
0.090	40.19	425.56	0.007	-0.009	24.79	25.05	82.97	-199.91	-293.82	-1098.43	136.19	-35.59	0.1820	0.2675	33.35	27.67	25.85	28.59	26.99	-0.0104
0.100	40.19	425.63	-0.002	0.010	24.79	25.05	82.71	-192.12	-292.60	-1114.55	141.59	-30.88	0.1724	0.2625	33.38	27.69	25.85	28.55	26.99	-0.0105
0.110	40.20	425.43	-0.012	0.010	24.78	25.07	82.51	-182.90	-291.92	-1123.38	144.25	-24.74	0.1628	0.2599	33.43	27.69	25.89	28.49	27.02	-0.0114
0.120	40.20	425.49	-0.020	-0.002	24.79	25.06	82.56	-169.73	-284.93	-1123.52	143.68	-14.86	0.1511	0.2536	33.48	27.64	25.93	28.44	27.05	-0.0109
0.130	40.20	425.70	-0.001	-0.007	24.79	25.05	82.86	-159.58	-280.92	-1105.48	134.52	-4.64	0.1444	0.2541	33.53	27.60	25.93	28.43	27.01	-0.0104
0.140	40.20	425.63	0.017	0.015	24.78	25.05	83.32	-157.03	-279.40	-1078.41	119.35	3.00	0.1456	0.2591	33.55	27.54	25.97	28.42	26.99	-0.0110
0.150	40.20	425.90	-0.003	0.007	24.79	25.04	83.17	-164.36	-279.64	-1045.19	102.10	5.90	0.1573	0.2676	33.55	27.58	25.99	28.44	27.01	-0.0100
0.160	40.21	425.97	-0.020	0.003	24.79	25.04	82.86	-178.97	-280.51	-1015.02	87.55	3.72	0.1763	0.2764	33.57	27.60	26.02	28.45	27.00	-0.0099
0.170	40.21	426.04	0.007	0.013	24.78	25.04	82.76	-198.86	-277.94	-996.74	80.17	-3.79	0.1995	0.2789	33.60	27.58	26.02	28.49	26.98	-0.0101
0.180	40.21	426.25	0.016	-0.010	24.80	25.02	83.07	-211.00	-268.56	-992.31	80.02	-14.85	0.2126	0.2706	33.63	27.60	26.04	28.53	27.00	-0.0090
0.190	40.21	425.84	-0.011	-0.009	24.79	25.05	83.42	-211.93	-260.06	-1009.21	88.23	-27.37	0.2100	0.2577	33.61	27.60	26.04	28.53	27.01	-0.0101
0.200	40.21	425.70	-0.003	0.006	24.79	25.05	83.37	-196.57	-257.18	-1037.13	101.97	-36.12	0.1895	0.2480	33.59	27.57	26.04	28.52	26.99	-0.0104
0.210	40.22	425.77	0.018	-0.013	24.80	25.06	82.91	-177.79	-262.25	-1064.19	115.43	-39.25	0.1671	0.2464	33.59	27.55	26.02	28.51	26.99	-0.0104
0.220	40.23	425.36	-0.011	0.010	24.79	25.09	82.81	-171.89	-272.75	-1086.24	125.69	-38.05	0.1582	0.2511	33.57	27.49	26.06	28.50	27.01	-0.0119
0.230	40.23	425.22	0.014	0.006	24.79	25.10	83.12	-181.36	-280.23	-1101.73	132.82	-35.90	0.1646	0.2543	33.56	27.45	26.07	28.45	26.99	-0.0124
0.240	40.24	425.36	0.017	-0.010	24.80	25.10	83.27	-197.40	-280.66	-1112.88	138.97	-33.74	0.1774	0.2522	33.57	27.39	26.10	28.42	26.99	-0.0120
0.250	40.23	425.49	-0.008	0.006	24.79	25.08	83.37	-203.18	-279.41	-1116.52	141.99	-28.43	0.1820	0.2503	33.57	27.37	26.09	28.38	27.00	-0.0116
0.260	40.24	425.29	-0.017	-0.003	24.79	25.10	83.17	-200.28	-276.59	-1110.57	141.14	-19.71	0.1803	0.2491	33.58	27.37	26.09	28.33	27.01	-0.0123
0.270	40.24	425.43	-0.005	-0.004	24.79	25.09	82.91	-197.64	-276.05	-1097.66	134.67	-10.03	0.1801	0.2515	33.57	27.40	26.04	28.36	26.99	-0.0118
0.280	40.24	425.84	0.005	-0.006	24.80	25.07	83.12	-199.12	-276.99	-1070.64	121.15	-2.16	0.1860	0.2587	33.55	27.43	26.09	28.38	26.99	-0.0109
0.290	40.23	425.77	-0.005	-0.002	24.79	25.06	83.62	-203.87	-276.63	-1037.32	105.27	1.94	0.1965	0.2667	33.55	27.45	26.09	28.42	27.00	-0.0108
0.300	40.22	426.52	0.010	-0.019	24.80	25.01	83.77	-205.93	-279.43	-1008.60	90.62	1.69	0.2042	0.2770	33.55	27.49	26.06	28.44	27.00	-0.0085
0.310	40.21	426.25	-0.008	0.009	24.79	25.02	83.57	-202.14	-277.80	-987.17	81.72	-2.68	0.2048	0.2814	33.55	27.54	26.10	28.48	26.98	-0.0092
0.320	40.19	426.73	0.010	-0.015	24.80	24.98	83.37	-196.63	-273.96	-977.32	80.06	-11.70	0.2012	0.2803	33.58	27.48	26.12	28.51	27.00	-0.0071
0.330	40.19	426.32	-0.003	-0.019	24.80	25.00	83.27	-186.75	-270.23	-982.53	86.29	-23.00	0.1901	0.2750	33.58	27.51	26.12	28.52	27.01	-0.0081
0.340	40.16	426.11	0.005	0.004	24.80	25.00	83.67	-167.07	-275.81	-1001.69	97.09	-32.08	0.1668	0.2753	33.59	27.57	26.06	28.52	26.99	-0.0082
0.350	40.14	425.70	0.020	-0.007	24.80	25.01	83.98	-145.82	-285.80	-1033.47	111.38	-37.00	0.1411	0.2765	33.60	27.54	25.97	28.55	26.99	-0.0088
0.360	40.14	425.15	0.008	-0.010	24.80	25.04	83.83	-132.23	-296.00	-1070.40	124.22	-36.96	0.1235	0.2765	33.63	27.51	25.97	28.55	27.03	-0.0100
0.370	40.12	425.22	0.018	-0.000	24.80	25.03	83.27	-134.70	-299.53	-1098.92	132.46	-34.97	0.1226	0.2726	33.65	27.48	25.93	28.55	27.06	-0.0093
0.380	40.12	424.74	0.014	-0.004	24.79	25.05	82.91	-143.47	-296.73	-1126.60	138.34	-31.73	0.1273	0.2634	33.68	27.45	25.93	28.52	26.99	-0.0103
0.390	40.11	424.74	-0.005	0.006	24.79	25.05	83.02	-152.94	-287.86	-1138.29	140.73	-27.53	0.1344	0.2529	33.70	27.43	25.97	28.49	27.00	-0.0103
0.400	40.12	425.02	0.014	0.013	24.78	25.04	83.17	-154.90	-281.09	-1134.37	138.94	-18.78	0.1366	0.2478	33.70	27.40	25.94	28.47	27.00	-0.0101
0.410	40.12	424.95	0.021	0.016	24.78	25.04	83.17	-163.41	-275.01	-1115.69	133.17	-9.16	0.1465	0.2465	33.70	27.37	25.96	28.49	26.99	-0.0105
0.420	40.12	425.49	0.014	0.004	24.79	25.01	82.86	-178.78	-270.95	-1081.77	120.69	-0.84	0.1653	0.2505	33.71	27.43	25.97	28.52	26.98	-0.0087
0.430	40.13	425.63	-0.014	-0.013	24.80	25.01	83.02	-202.20	-271.68	-1048.51	106.69	3.09	0.1928	0.2591	33.71	27.48	25.97	28.56	27.00	-0.0084
0.440	40.12	425.97	0.013	-0.018	24.80	24.98	83.37	-223.93	-275.99	-1015.90	92.59	2.35	0.2204	0.2717	33.72	27.49	26.04	28.58	27.00	-0.0074
0.450	40.12	426.25	0.007	0.022	24.79	24.97	83.77	-238.75	-279.38	-990.84	82.20	-3.07	0.2410	0.2820	33.69	27.49	26.09	28.62	26.98	-0.0072
0.460	40.13	426.38	0.026	0.003	24.79	24.96	83.83	-245.54	-277.69	-978.73	79.89	-13.01	0.2509	0.2837	33.69	27.48	26.09	28.67	26.99	-0.0068
0.470	40.12	426.04	0.017	0.003	24.79	24.98	83.47	-244.57	-273.30	-979.44	85.57	-25.61	0.2497	0.2790	33.70	27.48	26.10	28.66	27.00	-0.0075
0.480	40.13	426.25	0.004	0.012	24.79	24.97	83.27	-229.77	-275.18	-997.04	97.85	-35.35	0.2304	0.2760	33.67	27.46	26.07	28.70	26.99	-0.0074
0.490	40.14	425.97	-0.014	-0.013	24.80	25.00	83.47	-207.24	-283.55	-1028.11	114.40	-40.24	0.2016	0.2758	33.66	27.45	26.02	28.70	26.99	-0.0078
0.500	40.14	425.77	0.018	-0.002	24.80	25.00	84.03	-182.42	-293.89	-1058.50	127.01	-39.40	0.1723	0.2776	33.64	27.48	26.01	28.70	27.00	-0.0083
0.510	40.14	425.56	0.001	-0.006	24.80	25.02	84.23	-163.29	-301.37	-1082.12	135.57	-35.44	0.1509	0.2785	33.65	27.46	25.99	28.71	27.01	-0.0089
0.520	40.15	425.29	-0.003	-0.003	24.79	25.04	84.03	-151.66	-299.28	-1102.45	142.15	-31.09	0.1376	0.2715	33.64	27.45	26.02	28.68	26.99	-0.0099
0.530	40.15	425.49	0.002	-0.013	24.80	25.03	83.62	-143.18	-294.32	-1108.74	144.38	-25.12	0.1291	0.2655	33.63	27.46	26.01	28.66	26.99	-0.0092
0.540	40.16	425.36	0.002	0.013	24.79	25.04	83.52	-138.72	-289.14	-1109.10	143.37	-17.09	0.1251	0.2607	33.61	27.49	25.99	28.67	27.01	-0.0101
0.550	40.15	425.36	-0.014	-0.012	24.80	25.04	83.67	-140.21	-284.21	-1095.63	136.07	-7.65	0.1280	0.2594	33.59	27.55	25.97	28.68	27.00	-0.0098
0.560	40.16	425.22	0.010	0.004	24.79	25.05	83.88	-151.30	-282.61	-1071.73	122.21	-0.12	0.1412	0.2637	33.59	27.57	26.01	28.69	26.98	-0.0106
0.570	40.16	425.56	0.011	0.007	24.79	25.03	83.67	-171.07	-281.58	-1045.01	106.55	3.12	0.1637	0.2695	33.57	27.60	26.04	28.71	27.00	-0.0098
0.580	40.18	425.70	-0.018	-0.003	24.79	25.04	83.32	-191.02	-281.71	-1020.17	92.76	2.26	0.1872	0.2761	33.57	27.64	26.07	28.70	27.01	-0.0096
0.590	40.18	426.04	0.005	-0.013	24.80	25.02	83.12	-212.01	-283.79	-995.50	82.00	-3.86	0.2130	0.2851	33.57	27.63	26.06	28.72	26.99	-0.0089
0.600	40.19	425.90	-0.012	-0.010	24.80	25.03	83.17	-230.83	-279.61	-982.64	79.97	-13.45	0.2349	0.2845	33.57	27.61	26.07	28.71	26.99	-0.0095
0.610	40.19	426.04	0.016	0.019	24.78	25.02	83.72	-246.42	-275.63	-979.43	84.17	-25.51	0.2516	0.2814	33.56	27.63	26.01	28.69	27.01	-0.0096
0.620	40.19	425.63	0.013	-0.004	24.79	25.04	83.93	-249.64	-273.61	-994.59	96.87	-35.73	0.2510	0.2751	33.57	27.52	25.96	28.67	27.00	-0.0102
0.630	40.19	425.63	0.016	0.003	24.79	25.04	83.88	-235.77	-278.92	-1027.35	113.90	-40.20	0.2295	0.2715	33.58	27.51	25.91	28.65	26.98	-0.0100
0.640	40.20	425.63	0.017	0.012	24.78	25.05	83.52	-212.75	-289.91	-1058.33	126.78	-39.68	0.2010	0.2739	33.58	27.51	25.85	28.63	27.00	-0.0108
0.650	40.20	425.43	0.011	0.009	24.79	25.06	83.32	-187.46	-298.83	-1087.38	134.57	-35.48	0.1724	0.2748	33.59	27.48	25.91	28.62	27.01	-0.0111
0.660	40.21	425.36	0.017	0.010	24.78	25.07	83.37	-166.92	-305.82	-1106.11	137.47	-30.97	0.1509	0.2765	33.59	27.43	25.89	28.60	26.99	-0.0116
0.670	40.21	425.08	-0.024	-0.006	24.79	25.09	83.72	-153.42	-302.21	-1114.44	139.01	-26.05	0.1377	0.2712	33.62	27.46	25.94	28.59	26.99	-0.0120
0.680	40.21	425.15	-0.003	0.006	24.79	25.08	83.62	-143.15	-295.44	-1117.69	139.94	-18.20	0.1281	0.2643	33.64	27.46	25.97	28.54	27.00	-0.0120
0.690	40.20	425.29	0.013	0.032	24.77	25.07	83.22	-137.51	-287.55	-1104.31	134.18	-8.19	0.1245	0.2604	33.64	27.51	25.96	28.52	27.00	-0.0121
0.700	40.20	425.49	0.013	0.006	24.78	25.06	83.02	-136.51	-281.25	-1084.42	124.51	1.28	0.1259	0.2594	33.64	27.54	25.97	28.51	26.98	-0.0111
0.710	40.20	425.56	0.004	-0.019	24.79	25.05	83.17	-147.54	-274.29	-1058.80	111.52	5.97	0.1393	0.2591	33.64	27.57	26.02	28.49	27.00	-0.0104
