TIRF Data File: Project 2356; Run 053; Date 01-20-2022; Time 19:28; Tire_Name=Hoosier 20.5X7.0-13, R20; Rim_Width=8.0; ISO False; ID VpdsS4H
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.11	406.19	-0.017	-0.005	25.65	26.19	82.91	-436.81	44.55	-1175.90	124.94	-25.68	0.3715	-0.0379	32.90	26.45	28.66	27.77	26.76	-0.0206
0.010	40.10	406.19	-0.001	0.009	25.65	26.19	82.81	-463.79	39.77	-1154.53	130.80	-10.52	0.4017	-0.0344	32.92	26.45	28.62	27.79	26.76	-0.0206
0.020	40.12	406.12	0.007	0.006	25.65	26.20	82.81	-477.49	32.85	-1122.28	127.42	6.47	0.4255	-0.0293	32.94	26.46	28.59	27.81	26.78	-0.0210
0.030	40.14	406.12	0.006	0.003	25.65	26.22	82.86	-477.26	25.06	-1089.28	117.20	22.37	0.4381	-0.0230	32.95	26.43	28.59	27.78	26.76	-0.0218
0.040	40.18	406.39	-0.004	-0.009	25.66	26.23	82.81	-468.21	20.70	-1050.67	99.63	33.93	0.4456	-0.0197	32.97	26.47	28.55	27.78	26.75	-0.0217
0.050	40.19	406.53	0.006	0.006	25.65	26.22	82.81	-456.27	17.38	-1020.25	80.27	38.95	0.4472	-0.0170	33.00	26.45	28.49	27.77	26.77	-0.0218
0.060	40.16	406.80	0.002	0.006	25.65	26.19	82.81	-442.12	17.65	-1000.00	60.61	36.66	0.4421	-0.0177	33.01	26.48	28.51	27.74	26.78	-0.0205
0.070	40.16	406.87	-0.003	0.009	25.65	26.18	82.76	-428.73	15.89	-993.46	44.82	27.29	0.4316	-0.0160	33.02	26.51	28.55	27.72	26.76	-0.0204
0.080	40.16	406.94	-0.006	-0.003	25.66	26.18	82.76	-409.76	17.17	-1005.28	35.47	13.54	0.4076	-0.0171	33.00	26.49	28.55	27.77	26.76	-0.0200
0.090	40.18	406.94	0.010	0.009	25.65	26.19	82.76	-391.47	19.72	-1034.50	34.32	-2.91	0.3784	-0.0191	32.97	26.54	28.61	27.74	26.78	-0.0208
0.100	40.20	406.94	0.012	0.006	25.65	26.20	82.76	-378.49	23.31	-1076.21	42.37	-18.77	0.3517	-0.0217	32.91	26.52	28.63	27.71	26.77	-0.0210
0.110	40.24	406.94	0.004	-0.003	25.65	26.23	82.71	-376.10	28.49	-1117.34	56.92	-31.53	0.3366	-0.0255	32.86	26.53	28.65	27.71	26.75	-0.0220
0.120	40.21	406.87	-0.014	0.003	25.65	26.21	82.61	-386.86	32.95	-1151.30	75.03	-39.15	0.3360	-0.0286	32.81	26.54	28.66	27.70	26.77	-0.0217
