TIRF Data File: Project 2356; Run 056; Date 01-20-2022; Time 21:02; Tire_Name=Goodyear 20.0X7.0-13, 2704; Rim_Width=7.0; ISO False; ID NgQMED7
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.12	423.62	0.006	0.001	24.78	25.12	83.02	-478.31	-226.38	-1162.10	126.19	29.84	0.4116	0.1948	32.80	27.50	29.16	28.79	26.72	-0.0134
0.010	40.17	423.82	-0.006	0.003	24.78	25.14	83.17	-455.15	-231.02	-1141.33	107.09	40.31	0.3988	0.2024	32.84	27.52	29.17	28.78	26.73	-0.0143
0.020	40.16	424.10	-0.001	0.004	24.78	25.12	83.07	-425.96	-236.35	-1114.54	85.01	44.07	0.3822	0.2121	32.91	27.48	29.16	28.79	26.72	-0.0135
0.030	40.15	424.16	-0.007	-0.005	24.79	25.11	83.07	-405.87	-238.68	-1087.51	66.10	39.23	0.3732	0.2195	33.00	27.52	29.19	28.75	26.71	-0.0128
0.040	40.11	424.10	0.002	-0.005	24.79	25.09	83.07	-397.60	-240.97	-1059.27	50.16	27.95	0.3754	0.2275	33.06	27.51	29.22	28.75	26.71	-0.0119
0.050	40.11	424.16	0.006	0.012	24.78	25.08	83.12	-408.13	-239.06	-1042.26	43.47	11.56	0.3916	0.2294	33.12	27.55	29.22	28.76	26.73	-0.0119
0.060	40.09	424.10	-0.004	0.004	24.79	25.07	83.07	-430.98	-236.75	-1031.39	43.18	-6.56	0.4179	0.2295	33.16	27.55	29.22	28.74	26.71	-0.0114
0.070	40.11	424.16	0.004	0.019	24.78	25.08	83.17	-453.50	-235.23	-1036.23	51.96	-22.40	0.4376	0.2270	33.22	27.56	29.24	28.73	26.71	-0.0119
0.080	40.13	423.96	0.003	0.001	24.79	25.11	83.27	-466.78	-231.14	-1055.07	69.09	-33.32	0.4424	0.2191	33.24	27.52	29.19	28.76	26.72	-0.0128
0.090	40.15	423.96	0.009	0.004	24.79	25.12	83.12	-465.43	-228.65	-1086.97	90.72	-36.58	0.4282	0.2104	33.27	27.52	29.16	28.74	26.72	-0.0133
0.100	40.14	423.89	-0.007	-0.003	24.79	25.12	83.22	-456.92	-227.51	-1120.59	111.80	-32.61	0.4078	0.2030	33.30	27.51	29.13	28.74	26.71	-0.0131
0.110	40.15	423.82	0.012	0.004	24.79	25.13	83.27	-442.69	-227.35	-1150.07	128.04	-20.55	0.3849	0.1977	33.34	27.55	29.12	28.71	26.72	-0.0137
0.120	40.13	423.62	-0.003	0.009	24.78	25.13	83.17	-432.95	-227.34	-1169.88	136.88	-4.50	0.3701	0.1943	33.40	27.51	29.08	28.72	26.73	-0.0139
