TIRF Data File: Project 2356; Run 059; Date 01-20-2022; Time 22:53; Tire_Name=Goodyear 20.0X7.0-13, 2704; Rim_Width=8.0; ISO False; ID LP5i87Z
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.19	425.16	0.007	-0.006	24.73	25.08	84.18	-494.49	-209.82	-1135.59	128.70	25.53	0.4354	0.1848	31.63	27.64	29.54	29.17	26.82	-0.0138
0.010	40.19	425.09	-0.011	-0.009	24.73	25.08	84.13	-457.89	-205.39	-1108.54	109.31	37.72	0.4131	0.1853	31.65	27.62	29.53	29.16	26.84	-0.0139
0.020	40.18	425.16	-0.003	-0.016	24.73	25.07	83.77	-436.71	-202.30	-1082.04	88.14	41.90	0.4036	0.1870	31.68	27.61	29.47	29.16	26.83	-0.0136
0.030	40.15	425.16	-0.003	-0.009	24.73	25.05	83.88	-435.18	-202.77	-1057.17	67.85	37.44	0.4116	0.1918	31.70	27.63	29.47	29.17	26.81	-0.0128
0.040	40.19	424.89	0.000	-0.022	24.74	25.09	83.98	-453.44	-207.07	-1041.12	52.15	24.72	0.4355	0.1989	31.77	27.66	29.52	29.17	26.83	-0.0141
0.050	40.24	424.89	0.002	-0.015	24.74	25.12	83.98	-482.16	-213.50	-1033.29	43.23	6.84	0.4666	0.2066	31.82	27.64	29.54	29.19	26.83	-0.0152
0.060	40.23	425.02	0.002	0.001	24.73	25.11	84.18	-508.02	-221.91	-1042.07	44.22	-11.43	0.4875	0.2129	31.87	27.68	29.58	29.22	26.82	-0.0150
0.070	40.22	424.82	0.000	-0.010	24.74	25.11	84.28	-528.96	-229.12	-1061.66	55.44	-28.30	0.4982	0.2158	31.94	27.70	29.61	29.25	26.82	-0.0148
0.080	40.16	425.02	0.002	-0.007	24.73	25.07	84.08	-538.00	-234.27	-1089.44	73.76	-39.70	0.4938	0.2150	32.00	27.68	29.62	29.26	26.84	-0.0133
0.090	40.11	425.09	0.000	-0.010	24.74	25.03	83.93	-536.53	-238.63	-1117.95	95.43	-43.38	0.4799	0.2135	32.05	27.68	29.61	29.26	26.83	-0.0117
0.100	40.10	424.89	-0.008	-0.005	24.74	25.03	83.72	-531.85	-241.04	-1140.86	115.71	-40.13	0.4662	0.2113	32.10	27.67	29.60	29.28	26.82	-0.0119
0.110	40.11	424.68	-0.003	-0.007	24.74	25.05	83.77	-520.80	-238.62	-1157.40	132.66	-28.32	0.4500	0.2062	32.13	27.66	29.58	29.19	26.83	-0.0125
0.120	40.15	424.68	0.009	-0.003	24.73	25.08	83.88	-511.11	-233.67	-1163.98	141.96	-11.86	0.4391	0.2008	32.17	27.64	29.53	29.16	26.83	-0.0139
0.130	40.18	424.75	-0.003	-0.002	24.73	25.09	83.98	-503.53	-227.54	-1157.40	141.01	6.33	0.4351	0.1966	32.21	27.59	29.49	29.15	26.82	-0.0143
0.140	40.20	424.61	-0.001	-0.005	24.73	25.11	84.03	-493.92	-220.22	-1137.64	128.88	23.60	0.4342	0.1936	32.25	27.59	29.49	29.09	26.82	-0.0152
0.150	40.20	424.61	0.000	-0.016	24.74	25.11	83.93	-485.05	-217.08	-1112.82	110.78	35.52	0.4359	0.1951	32.31	27.61	29.43	29.06	26.83	-0.0150
0.160	40.18	424.61	-0.001	-0.009	24.73	25.10	83.83	-477.31	-213.46	-1084.93	89.29	40.24	0.4399	0.1967	32.36	27.62	29.44	29.06	26.83	-0.0146
0.170	40.15	424.54	0.007	-0.013	24.74	25.09	83.72	-475.28	-213.12	-1058.67	68.69	36.43	0.4489	0.2013	32.40	27.63	29.44	29.07	26.82	-0.0139
0.180	40.15	424.61	0.002	-0.010	24.74	25.08	83.72	-480.30	-214.12	-1040.06	52.46	25.02	0.4618	0.2059	32.47	27.66	29.46	29.08	26.83	-0.0138
0.190	40.13	424.47	0.002	-0.003	24.74	25.08	83.83	-493.38	-219.19	-1030.07	42.12	8.56	0.4790	0.2128	32.50	27.68	29.49	29.12	26.83	-0.0137
0.200	40.13	424.47	-0.004	-0.010	24.74	25.08	83.98	-512.06	-223.18	-1035.41	42.77	-10.15	0.4945	0.2156	32.56	27.68	29.52	29.15	26.82	-0.0135
0.210	40.12	424.41	-0.006	-0.003	24.74	25.07	84.03	-532.74	-225.04	-1053.28	53.78	-27.20	0.5058	0.2137	32.59	27.68	29.53	29.16	26.82	-0.0134
0.220	40.10	424.41	0.000	-0.007	24.74	25.06	83.93	-553.74	-225.95	-1079.63	72.45	-39.58	0.5129	0.2093	32.62	27.69	29.56	29.15	26.83	-0.0128
0.230	40.11	424.47	-0.007	-0.007	24.74	25.06	83.77	-574.92	-226.87	-1103.51	93.04	-45.80	0.5210	0.2056	32.65	27.66	29.58	29.12	26.83	-0.0129
0.240	40.13	424.54	-0.006	-0.006	24.74	25.07	83.67	-588.36	-229.25	-1127.25	113.34	-43.34	0.5219	0.2034	32.68	27.64	29.54	29.15	26.82	-0.0131
0.250	40.14	424.54	0.012	-0.003	24.73	25.08	83.72	-593.77	-228.96	-1142.30	129.80	-33.36	0.5198	0.2004	32.68	27.63	29.52	29.10	26.83	-0.0140
0.260	40.14	424.75	0.009	0.001	24.73	25.07	83.93	-584.58	-226.09	-1151.49	139.74	-17.18	0.5077	0.1963	32.68	27.67	29.52	29.08	26.84	-0.0135
0.270	40.13	424.61	0.002	0.003	24.73	25.07	84.13	-563.10	-220.61	-1151.25	141.46	1.69	0.4891	0.1916	32.71	27.64	29.50	29.09	26.82	-0.0136
0.280	40.13	424.61	0.006	-0.005	24.74	25.07	84.13	-534.63	-216.68	-1136.22	131.41	19.87	0.4705	0.1907	32.70	27.63	29.49	29.08	26.81	-0.0135
0.290	40.16	424.75	-0.004	-0.009	24.73	25.08	84.08	-508.57	-210.82	-1112.10	113.86	33.42	0.4573	0.1896	32.65	27.67	29.49	29.10	26.83	-0.0139
0.300	40.19	424.82	0.003	-0.007	24.73	25.10	83.98	-491.23	-205.06	-1082.70	92.40	39.58	0.4537	0.1894	32.58	27.64	29.47	29.08	26.83	-0.0144
0.310	40.22	424.82	0.004	-0.016	24.74	25.11	83.77	-488.94	-200.52	-1057.97	72.63	37.01	0.4621	0.1895	32.49	27.70	29.47	29.08	26.82	-0.0149
