TIRF Data File: Project 2356; Run 062; Date 01-21-2022; Time 08:31; Tire_Name=MRF 18.0X6.0-10, ZTD1; Rim_Width=6.0; ISO False; ID gmzNJC0
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.23	483.17	-0.007	0.003	21.58	22.09	83.42	-575.99	-27.05	-1091.69	110.93	20.45	0.5276	0.0248	27.79	28.12	28.30	28.45	26.17	-0.0229
0.010	40.21	483.24	-0.001	0.004	21.58	22.07	83.42	-573.24	-26.04	-1068.22	95.78	34.26	0.5366	0.0244	27.80	28.12	28.31	28.42	26.18	-0.0221
0.020	40.19	483.24	0.000	-0.003	21.58	22.06	83.37	-570.20	-25.10	-1058.25	76.62	39.71	0.5388	0.0237	27.80	28.13	28.34	28.42	26.17	-0.0217
0.030	40.18	483.24	0.003	-0.002	21.59	22.06	83.32	-566.59	-29.16	-1056.09	54.63	36.41	0.5365	0.0276	27.78	28.16	28.35	28.42	26.16	-0.0213
0.040	40.16	483.37	-0.003	0.012	21.59	22.04	83.37	-562.82	-31.82	-1065.96	38.36	25.24	0.5280	0.0298	27.78	28.21	28.36	28.46	26.18	-0.0205
0.050	40.14	483.37	0.009	0.006	21.58	22.03	83.37	-562.56	-31.94	-1084.61	32.30	8.21	0.5187	0.0295	27.79	28.19	28.41	28.43	26.18	-0.0204
0.060	40.14	483.10	-0.013	-0.000	21.59	22.04	83.42	-563.36	-31.09	-1104.56	36.86	-9.20	0.5100	0.0281	27.80	28.23	28.40	28.45	26.16	-0.0207
0.070	40.13	483.10	0.006	0.004	21.58	22.03	83.47	-569.96	-36.33	-1121.73	49.75	-23.81	0.5081	0.0324	27.79	28.24	28.41	28.48	26.16	-0.0203
0.080	40.13	483.24	0.007	-0.000	21.58	22.03	83.32	-582.76	-36.47	-1134.72	69.61	-32.37	0.5136	0.0321	27.77	28.28	28.41	28.47	26.18	-0.0203
0.090	40.16	483.10	-0.001	-0.002	21.59	22.05	83.47	-595.05	-37.30	-1142.00	91.05	-31.49	0.5211	0.0327	27.80	28.30	28.46	28.48	26.17	-0.0210
0.100	40.16	483.10	0.003	0.003	21.58	22.05	83.27	-604.98	-36.88	-1137.18	108.18	-22.13	0.5320	0.0324	27.83	28.29	28.46	28.46	26.16	-0.0213
0.110	40.19	483.10	0.004	0.013	21.58	22.07	83.32	-608.40	-33.26	-1123.29	117.33	-6.17	0.5416	0.0296	27.89	28.30	28.44	28.47	26.17	-0.0220
0.120	40.16	483.17	-0.001	-0.002	21.59	22.05	83.42	-602.53	-29.70	-1098.23	114.50	12.86	0.5486	0.0270	27.95	28.32	28.46	28.47	26.18	-0.0209
0.130	40.17	483.17	0.007	0.010	21.58	22.05	83.42	-593.00	-27.29	-1074.39	103.24	28.98	0.5519	0.0254	27.97	28.28	28.47	28.42	26.16	-0.0214
0.140	40.20	483.24	-0.014	-0.000	21.59	22.07	83.37	-581.10	-24.19	-1056.39	84.73	38.29	0.5501	0.0229	28.00	28.23	28.48	28.43	26.16	-0.0218
0.150	40.21	483.37	-0.003	0.006	21.59	22.07	83.47	-571.64	-24.12	-1053.52	64.03	39.19	0.5426	0.0229	28.04	28.23	28.47	28.44	26.18	-0.0218
0.160	40.20	483.24	-0.008	0.006	21.58	22.07	83.37	-571.65	-27.41	-1063.03	45.91	30.50	0.5377	0.0258	28.06	28.24	28.47	28.43	26.17	-0.0219
0.170	40.20	483.31	0.002	-0.002	21.59	22.06	83.42	-578.95	-31.13	-1080.40	35.44	15.88	0.5359	0.0288	28.08	28.21	28.48	28.41	26.16	-0.0214
0.180	40.19	483.31	-0.011	0.007	21.58	22.06	83.42	-598.05	-35.41	-1096.04	33.83	-2.37	0.5456	0.0323	28.08	28.23	28.47	28.46	26.17	-0.0216
0.190	40.18	483.37	0.002	-0.006	21.59	22.05	83.32	-621.05	-38.52	-1113.43	43.47	-19.39	0.5578	0.0346	28.09	28.24	28.47	28.47	26.18	-0.0209
0.200	40.20	483.51	0.007	0.007	21.58	22.05	83.42	-638.88	-42.34	-1125.99	60.19	-30.45	0.5674	0.0376	28.10	28.22	28.51	28.46	26.16	-0.0214
0.210	40.23	483.58	-0.004	0.001	21.58	22.07	83.42	-644.79	-43.11	-1134.30	81.54	-33.36	0.5684	0.0380	28.11	28.22	28.55	28.50	26.16	-0.0219
0.220	40.25	483.58	-0.003	0.003	21.58	22.08	83.37	-636.23	-41.91	-1138.25	101.85	-27.21	0.5590	0.0368	28.10	28.22	28.55	28.51	26.18	-0.0225
0.230	40.25	483.58	-0.006	-0.005	21.59	22.08	83.42	-616.03	-37.35	-1130.22	114.73	-13.24	0.5451	0.0330	28.11	28.24	28.53	28.52	26.18	-0.0222
0.240	40.24	483.65	-0.004	0.006	21.58	22.07	83.32	-589.88	-32.48	-1111.89	117.60	5.53	0.5305	0.0292	28.10	28.23	28.51	28.50	26.16	-0.0221
0.250	40.21	483.72	-0.004	0.003	21.59	22.05	83.42	-568.39	-30.56	-1089.88	109.48	22.70	0.5215	0.0280	28.07	28.21	28.55	28.48	26.17	-0.0210
0.260	40.20	483.58	0.003	0.003	21.59	22.05	83.32	-549.70	-28.88	-1069.97	93.17	35.89	0.5138	0.0270	28.06	28.22	28.57	28.47	26.18	-0.0211
0.270	40.17	483.58	-0.001	0.001	21.58	22.04	83.37	-542.35	-27.32	-1062.31	73.26	40.23	0.5105	0.0257	28.00	28.22	28.53	28.46	26.16	-0.0205
0.280	40.19	483.51	-0.004	0.013	21.58	22.05	83.42	-547.05	-28.69	-1062.33	52.09	34.99	0.5150	0.0270	28.00	28.21	28.53	28.46	26.16	-0.0212
0.290	40.19	483.51	0.000	0.001	21.58	22.05	83.32	-557.73	-33.16	-1075.65	37.88	22.91	0.5185	0.0308	28.00	28.19	28.53	28.48	26.18	-0.0211
0.300	40.20	483.51	0.003	0.001	21.59	22.05	83.42	-574.77	-35.40	-1092.59	32.65	5.77	0.5261	0.0324	28.01	28.19	28.55	28.47	26.17	-0.0212
0.310	40.19	483.65	-0.001	-0.006	21.59	22.04	83.42	-590.67	-37.27	-1106.14	37.46	-12.57	0.5340	0.0337	28.01	28.24	28.55	28.51	26.16	-0.0207
0.320	40.19	483.58	-0.003	-0.000	21.59	22.05	83.37	-597.49	-39.72	-1123.97	51.99	-26.17	0.5316	0.0353	28.02	28.23	28.56	28.46	26.16	-0.0209
0.330	40.20	483.65	-0.006	0.006	21.59	22.05	83.42	-593.86	-41.31	-1135.04	71.93	-32.11	0.5232	0.0364	28.01	28.23	28.60	28.45	26.18	-0.0209
0.340	40.18	483.72	0.000	0.010	21.59	22.03	83.47	-583.68	-41.48	-1142.17	93.59	-29.72	0.5110	0.0363	28.00	28.22	28.61	28.48	26.17	-0.0204
0.350	40.17	483.44	-0.003	-0.002	21.59	22.04	83.32	-572.45	-38.88	-1134.59	109.06	-19.04	0.5045	0.0343	27.97	28.19	28.62	28.48	26.16	-0.0207
0.360	40.16	483.51	-0.001	0.003	21.58	22.03	83.37	-560.90	-34.53	-1119.18	117.02	-2.04	0.5012	0.0309	27.96	28.22	28.60	28.46	26.17	-0.0204
0.370	40.16	483.44	-0.003	0.004	21.58	22.04	83.42	-555.07	-30.42	-1095.09	114.02	15.94	0.5069	0.0278	27.98	28.19	28.61	28.46	26.18	-0.0206
0.380	40.19	483.44	-0.001	0.013	21.58	22.05	83.27	-553.00	-26.64	-1067.96	100.62	31.20	0.5178	0.0249	27.98	28.19	28.59	28.42	26.16	-0.0213
0.390	40.23	483.37	-0.014	0.001	21.59	22.08	83.27	-555.20	-25.63	-1055.36	82.57	39.03	0.5261	0.0243	27.98	28.19	28.56	28.43	26.16	-0.0222
0.400	40.26	483.51	0.002	0.009	21.58	22.08	83.42	-559.84	-26.27	-1054.80	62.13	38.04	0.5308	0.0249	27.99	28.19	28.55	28.44	26.18	-0.0228
0.410	40.26	483.37	0.002	0.007	21.58	22.09	83.32	-563.46	-28.84	-1063.48	44.11	28.64	0.5298	0.0271	27.99	28.18	28.50	28.44	26.17	-0.0230
0.420	40.24	483.44	-0.006	0.010	21.58	22.08	83.42	-568.54	-31.93	-1079.54	34.32	12.89	0.5267	0.0296	28.00	28.22	28.49	28.46	26.16	-0.0225
0.430	40.20	483.37	0.004	0.001	21.59	22.06	83.37	-570.64	-33.92	-1098.01	34.92	-4.60	0.5197	0.0309	28.00	28.22	28.53	28.44	26.18	-0.0215
0.440	40.15	483.44	-0.003	0.007	21.59	22.03	83.42	-571.81	-38.54	-1117.55	45.95	-20.60	0.5117	0.0345	28.02	28.23	28.53	28.43	26.18	-0.0202
0.450	40.14	483.44	0.007	0.007	21.58	22.03	83.42	-569.71	-41.53	-1132.56	64.00	-30.35	0.5030	0.0367	28.00	28.23	28.55	28.44	26.16	-0.0201
0.460	40.18	483.44	0.002	-0.006	21.59	22.05	83.37	-565.19	-40.16	-1143.12	86.00	-31.68	0.4944	0.0351	27.97	28.27	28.53	28.44	26.16	-0.0209
0.470	40.19	483.31	0.002	0.004	21.59	22.06	83.32	-562.09	-38.37	-1145.40	105.16	-24.53	0.4907	0.0335	27.98	28.28	28.56	28.43	26.17	-0.0214
0.480	40.20	483.17	0.003	0.004	21.58	22.07	83.37	-559.30	-35.30	-1133.41	116.30	-9.83	0.4935	0.0311	27.96	28.29	28.55	28.39	26.17	-0.0221
0.490	40.19	483.17	0.000	-0.002	21.59	22.06	83.32	-557.68	-32.44	-1111.76	116.65	8.43	0.5016	0.0292	27.95	28.27	28.55	28.41	26.16	-0.0217
0.500	40.15	483.10	-0.001	-0.002	21.59	22.05	83.27	-558.50	-31.27	-1085.81	106.89	25.56	0.5144	0.0288	27.94	28.25	28.50	28.38	26.17	-0.0209
0.510	40.15	483.03	-0.006	0.001	21.58	22.05	83.47	-560.96	-28.93	-1065.30	90.31	36.90	0.5266	0.0272	27.93	28.24	28.51	28.33	26.18	-0.0212
0.520	40.15	483.10	0.000	-0.000	21.59	22.05	83.37	-565.75	-29.48	-1055.32	68.82	39.55	0.5361	0.0279	27.95	28.21	28.50	28.29	26.16	-0.0209
0.530	40.16	482.96	0.003	0.009	21.58	22.06	83.42	-571.37	-30.12	-1058.79	48.77	33.55	0.5396	0.0284	27.95	28.16	28.48	28.32	26.16	-0.0216
0.540	40.17	483.24	-0.004	0.010	21.59	22.05	83.57	-575.64	-31.21	-1072.63	35.43	20.48	0.5367	0.0291	27.92	28.19	28.46	28.35	26.18	-0.0210
0.550	40.16	483.10	-0.004	0.003	21.59	22.05	83.42	-584.29	-32.64	-1090.72	32.15	2.89	0.5357	0.0299	27.93	28.22	28.48	28.36	26.17	-0.0210
0.560	40.15	483.03	0.013	0.007	21.58	22.05	83.42	-599.06	-33.17	-1108.30	39.57	-15.19	0.5405	0.0299	27.93	28.23	28.48	28.39	26.16	-0.0211
0.570	40.15	483.24	-0.001	-0.002	21.59	22.04	83.42	-617.02	-36.14	-1123.44	55.40	-28.68	0.5492	0.0322	27.91	28.24	28.47	28.45	26.16	-0.0205
0.580	40.18	483.17	0.003	0.004	21.59	22.06	83.42	-631.90	-40.51	-1133.72	75.94	-33.67	0.5574	0.0357	27.91	28.27	28.50	28.44	26.18	-0.0214
0.590	40.22	483.37	0.004	0.016	21.58	22.07	83.37	-641.41	-39.38	-1137.47	96.53	-30.49	0.5639	0.0346	27.93	28.25	28.51	28.45	26.17	-0.0222
0.600	40.25	483.37	-0.008	-0.003	21.59	22.09	83.42	-635.34	-36.74	-1132.99	112.39	-17.61	0.5608	0.0324	27.94	28.22	28.53	28.43	26.16	-0.0226
0.610	40.25	483.51	-0.006	-0.000	21.59	22.08	83.27	-620.62	-33.14	-1114.03	117.10	0.03	0.5571	0.0297	27.98	28.23	28.54	28.45	26.17	-0.0224
0.620	40.23	483.44	0.004	-0.002	21.59	22.07	83.37	-598.80	-29.06	-1090.73	112.01	18.52	0.5490	0.0266	27.98	28.23	28.55	28.43	26.17	-0.0220
0.630	40.22	483.51	0.010	0.006	21.58	22.06	83.42	-575.10	-26.69	-1066.91	97.51	33.22	0.5390	0.0250	27.97	28.23	28.53	28.42	26.16	-0.0220
0.640	40.22	483.44	0.004	0.004	21.58	22.07	83.32	-554.68	-24.40	-1055.35	78.29	40.02	0.5256	0.0231	27.95	28.23	28.56	28.44	26.17	-0.0219
0.650	40.21	483.58	0.000	-0.009	21.59	22.06	83.37	-540.44	-25.54	-1058.16	57.93	37.69	0.5107	0.0241	27.94	28.25	28.59	28.44	26.18	-0.0210
0.660	40.21	483.51	0.002	0.013	21.58	22.06	83.42	-535.18	-28.28	-1071.04	42.13	27.19	0.4997	0.0264	27.94	28.29	28.60	28.42	26.17	-0.0216
0.670	40.19	483.44	-0.001	-0.000	21.59	22.05	83.42	-540.91	-33.26	-1087.67	33.66	11.19	0.4973	0.0306	27.94	28.32	28.61	28.39	26.16	-0.0212
0.680	40.18	483.65	0.009	0.001	21.59	22.04	83.37	-559.13	-36.00	-1107.78	36.43	-7.06	0.5047	0.0325	27.95	28.34	28.67	28.44	26.17	-0.0205
0.690	40.20	483.65	0.006	0.006	21.59	22.05	83.37	-583.73	-39.19	-1120.66	47.39	-22.86	0.5209	0.0350	27.95	28.39	28.65	28.51	26.18	-0.0209
