TIRF Data File: Project 2356; Run 065; Date 01-21-2022; Time 10:13; Tire_Name=MRF 18.0X6.0-10, ZTD1; Rim_Width=7.0; ISO False; ID lPM51L5
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.20	488.98	-0.010	-0.005	21.36	21.81	82.76	-516.38	-84.32	-1180.03	106.48	-38.63	0.4376	0.0715	31.70	27.15	28.48	28.71	26.49	-0.0204
0.010	40.16	488.91	0.003	-0.000	21.36	21.79	82.61	-511.02	-97.23	-1224.22	127.83	-31.19	0.4174	0.0794	31.73	27.15	28.49	28.75	26.49	-0.0198
0.020	40.17	488.71	-0.007	0.001	21.35	21.80	82.71	-517.18	-98.48	-1240.71	140.00	-16.38	0.4168	0.0794	31.78	27.14	28.47	28.76	26.51	-0.0208
0.030	40.20	488.71	0.000	0.007	21.35	21.82	82.66	-533.68	-94.45	-1218.20	136.05	1.61	0.4381	0.0775	31.82	27.15	28.49	28.74	26.49	-0.0216
0.040	40.20	488.50	0.002	-0.007	21.36	21.83	82.71	-553.99	-81.48	-1161.53	116.94	18.71	0.4770	0.0702	31.86	27.15	28.50	28.71	26.49	-0.0215
0.050	40.22	488.64	-0.011	0.003	21.37	21.83	82.61	-567.86	-60.44	-1099.95	93.11	31.12	0.5163	0.0550	31.88	27.19	28.49	28.70	26.51	-0.0214
0.060	40.22	488.50	0.006	0.006	21.37	21.84	82.61	-574.80	-37.26	-1039.77	68.02	34.44	0.5528	0.0358	31.91	27.22	28.51	28.67	26.51	-0.0216
0.070	40.20	488.64	0.007	0.001	21.38	21.82	82.76	-576.56	-24.37	-986.13	43.48	27.67	0.5847	0.0247	31.94	27.19	28.55	28.64	26.49	-0.0205
0.080	40.18	488.50	0.004	-0.003	21.38	21.82	82.56	-569.84	-23.12	-959.49	27.95	14.27	0.5939	0.0241	31.94	27.24	28.53	28.64	26.50	-0.0200
0.090	40.18	488.71	0.003	-0.003	21.38	21.81	82.71	-559.71	-27.90	-969.80	28.89	-3.46	0.5771	0.0288	31.94	27.22	28.50	28.65	26.51	-0.0195
0.100	40.19	488.91	0.006	0.006	21.38	21.81	82.81	-544.90	-39.49	-1016.05	45.16	-20.77	0.5363	0.0389	31.94	27.23	28.50	28.67	26.50	-0.0196
0.110	40.17	488.77	-0.007	0.004	21.37	21.80	82.76	-527.63	-55.72	-1088.67	71.75	-33.89	0.4847	0.0512	31.95	27.22	28.48	28.66	26.49	-0.0199
0.120	40.17	488.64	0.000	-0.000	21.36	21.81	82.81	-513.77	-78.90	-1160.98	98.77	-39.14	0.4425	0.0680	31.96	27.22	28.44	28.64	26.50	-0.0204
0.130	40.18	488.50	-0.004	0.013	21.35	21.82	82.71	-507.73	-96.01	-1215.64	122.62	-34.18	0.4177	0.0790	31.98	27.22	28.40	28.58	26.51	-0.0214
0.140	40.16	488.43	0.002	0.012	21.35	21.81	82.81	-516.29	-102.04	-1238.36	137.24	-21.84	0.4169	0.0824	31.99	27.22	28.38	28.58	26.49	-0.0214
0.150	40.16	488.30	-0.001	-0.000	21.35	21.82	82.76	-533.81	-99.92	-1223.93	136.98	-4.53	0.4361	0.0816	32.02	27.19	28.38	28.58	26.49	-0.0213
0.160	40.15	488.30	-0.006	0.013	21.35	21.81	82.71	-553.98	-89.86	-1177.76	122.55	13.46	0.4704	0.0763	32.03	27.19	28.34	28.57	26.51	-0.0214
0.170	40.16	488.36	-0.013	0.014	21.36	21.81	82.66	-564.92	-70.14	-1116.08	99.74	28.34	0.5062	0.0628	32.03	27.17	28.36	28.56	26.50	-0.0211
0.180	40.15	488.23	-0.004	0.003	21.37	21.82	82.66	-571.15	-44.07	-1055.37	74.55	34.44	0.5412	0.0418	32.05	27.17	28.36	28.54	26.49	-0.0203
0.190	40.16	488.30	-0.003	0.007	21.38	21.82	82.71	-571.26	-25.73	-1000.36	50.11	30.89	0.5711	0.0257	32.07	27.12	28.40	28.53	26.50	-0.0202
0.200	40.14	488.36	0.002	0.001	21.38	21.80	82.56	-569.81	-21.07	-959.97	29.64	18.99	0.5936	0.0220	32.09	27.15	28.38	28.53	26.51	-0.0194
0.210	40.13	488.36	0.006	0.009	21.38	21.79	82.66	-573.14	-26.01	-960.15	26.00	1.57	0.5969	0.0271	32.13	27.12	28.43	28.53	26.49	-0.0190
0.220	40.14	488.43	-0.008	0.016	21.37	21.80	82.71	-579.88	-34.86	-997.60	38.60	-16.88	0.5813	0.0349	32.13	27.11	28.43	28.53	26.49	-0.0197
0.230	40.16	488.43	-0.001	0.006	21.37	21.81	82.66	-590.76	-53.10	-1064.04	63.14	-32.64	0.5552	0.0499	32.13	27.07	28.47	28.56	26.51	-0.0202
0.240	40.20	488.57	0.010	0.003	21.36	21.83	82.66	-599.64	-74.90	-1133.65	89.48	-41.02	0.5289	0.0661	32.13	27.11	28.46	28.55	26.50	-0.0213
