TIRF Data File: Project 2356; Run 074; Date 01-21-2022; Time 14:47; Tire_Name=Goodyear 18.0X6.5-10, Eagle Racing Special; Rim_Width=6.0; ISO False; ID vcgiaX7
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.22	474.25	-0.013	0.003	21.96	22.50	82.26	-490.94	-222.00	-1179.83	109.39	-27.50	0.4161	0.1882	33.47	27.47	29.35	29.22	26.15	-0.0237
0.010	40.24	474.11	-0.001	0.006	21.96	22.51	82.16	-472.65	-229.32	-1221.75	131.15	-21.46	0.3869	0.1877	33.45	27.48	29.36	29.24	26.16	-0.0244
0.020	40.25	474.04	-0.001	0.007	21.96	22.52	82.21	-469.19	-225.68	-1235.39	143.31	-7.49	0.3798	0.1827	33.43	27.48	29.33	29.27	26.18	-0.0250
0.030	40.21	474.04	0.000	-0.005	21.96	22.50	82.16	-486.87	-220.11	-1211.50	140.25	9.48	0.4019	0.1817	33.44	27.51	29.34	29.31	26.16	-0.0239
0.040	40.19	473.97	0.000	-0.003	21.96	22.49	82.26	-514.40	-207.89	-1160.53	124.56	27.24	0.4432	0.1791	33.42	27.51	29.34	29.35	26.16	-0.0235
0.050	40.16	473.97	-0.007	0.009	21.97	22.48	82.21	-546.23	-190.32	-1102.12	102.71	40.87	0.4956	0.1727	33.42	27.59	29.37	29.42	26.18	-0.0226
0.060	40.16	474.11	0.003	0.003	21.98	22.47	82.11	-577.14	-171.25	-1045.34	78.11	46.03	0.5521	0.1638	33.44	27.61	29.41	29.44	26.17	-0.0218
0.070	40.15	474.18	0.006	0.009	21.98	22.46	82.31	-599.06	-163.39	-1001.77	54.04	42.46	0.5980	0.1631	33.47	27.63	29.43	29.45	26.16	-0.0213
0.080	40.15	474.31	0.000	0.007	21.99	22.46	82.16	-606.71	-162.28	-977.51	36.29	31.70	0.6207	0.1660	33.48	27.62	29.44	29.45	26.17	-0.0208
0.090	40.17	474.38	0.000	0.007	21.99	22.46	82.21	-609.25	-167.87	-985.00	32.98	14.68	0.6185	0.1704	33.50	27.62	29.47	29.39	26.18	-0.0212
0.100	40.15	474.45	0.007	0.003	21.99	22.45	82.31	-605.66	-177.99	-1021.14	45.02	-4.07	0.5931	0.1743	33.50	27.57	29.42	29.39	26.16	-0.0207
0.110	40.17	474.38	0.006	0.010	21.98	22.46	82.16	-594.72	-193.64	-1073.20	65.48	-19.74	0.5542	0.1804	33.50	27.57	29.43	29.36	26.16	-0.0216
0.120	40.19	474.45	-0.003	0.007	21.97	22.47	82.21	-578.75	-209.16	-1132.05	90.12	-28.87	0.5112	0.1848	33.51	27.57	29.41	29.36	26.18	-0.0223
0.130	40.22	474.45	0.004	0.004	21.96	22.49	82.21	-554.03	-221.23	-1187.09	115.44	-28.18	0.4667	0.1864	33.51	27.57	29.43	29.34	26.17	-0.0234
0.140	40.24	474.52	-0.010	-0.002	21.96	22.49	82.26	-531.02	-226.46	-1224.07	134.99	-18.65	0.4338	0.1850	33.52	27.53	29.44	29.38	26.16	-0.0238
0.150	40.23	474.45	0.014	0.016	21.95	22.49	82.26	-517.03	-222.99	-1227.50	142.68	-2.67	0.4212	0.1817	33.53	27.56	29.43	29.36	26.17	-0.0242
0.160	40.19	474.31	0.007	0.003	21.95	22.48	82.21	-517.67	-216.79	-1198.73	136.03	15.84	0.4318	0.1809	33.56	27.58	29.44	29.35	26.18	-0.0234
0.170	40.20	474.52	-0.003	0.016	21.95	22.47	82.21	-527.30	-203.34	-1146.58	117.65	33.25	0.4599	0.1773	33.58	27.61	29.44	29.38	26.16	-0.0231
0.180	40.23	474.45	0.007	0.006	21.97	22.49	82.16	-544.00	-187.01	-1086.52	93.46	44.57	0.5007	0.1721	33.60	27.69	29.47	29.37	26.16	-0.0233
0.190	40.26	474.66	0.010	0.010	21.97	22.50	82.21	-564.05	-170.81	-1036.55	69.69	46.74	0.5442	0.1648	33.62	27.78	29.54	29.38	26.18	-0.0232
