TIRF Data File: Project 2356; Run 077; Date 01-21-2022; Time 16:09; Tire_Name=Goodyear 18.0X6.5-10, Eagle Racing Special; Rim_Width=7.0; ISO False; ID vRkusyW
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.17	476.06	0.000	0.001	21.94	22.38	82.00	-468.99	-189.04	-1042.83	39.67	17.24	0.4497	0.1813	33.80	27.08	30.03	29.69	26.72	-0.0197
0.010	40.16	476.06	-0.008	-0.012	21.94	22.38	82.00	-469.73	-186.78	-1047.62	38.71	-1.49	0.4484	0.1783	33.77	27.11	30.05	29.71	26.72	-0.0195
0.020	40.16	475.99	0.006	-0.010	21.95	22.38	82.06	-475.58	-189.99	-1071.39	49.91	-19.24	0.4439	0.1773	33.71	27.14	30.00	29.76	26.70	-0.0194
0.030	40.17	475.85	-0.001	-0.015	21.94	22.39	82.06	-479.25	-195.76	-1103.92	70.20	-30.90	0.4341	0.1773	33.67	27.12	29.97	29.75	26.71	-0.0200
0.040	40.14	475.92	0.002	-0.007	21.94	22.37	82.00	-480.83	-203.66	-1137.45	94.22	-34.45	0.4227	0.1790	33.63	27.12	29.96	29.74	26.72	-0.0195
0.050	40.15	475.85	0.002	-0.009	21.93	22.38	81.90	-482.53	-208.77	-1161.68	116.03	-28.52	0.4154	0.1797	33.57	27.11	29.95	29.70	26.71	-0.0201
0.060	40.14	475.85	0.009	-0.005	21.93	22.38	82.11	-484.74	-212.70	-1174.17	130.93	-14.38	0.4128	0.1812	33.55	27.13	29.90	29.69	26.70	-0.0199
0.070	40.17	475.65	0.006	-0.013	21.94	22.40	82.06	-487.05	-211.93	-1176.65	136.03	3.88	0.4139	0.1801	33.52	27.17	29.92	29.65	26.72	-0.0208
0.080	40.19	475.58	0.000	-0.007	21.94	22.42	82.11	-482.80	-210.11	-1157.99	127.93	22.77	0.4169	0.1814	33.52	27.18	29.92	29.62	26.72	-0.0215
0.090	40.19	475.58	0.000	0.006	21.93	22.42	82.00	-479.15	-207.17	-1128.88	109.38	36.90	0.4245	0.1835	33.50	27.23	29.95	29.64	26.71	-0.0215
0.100	40.20	475.51	0.000	-0.006	21.94	22.43	82.00	-475.95	-200.62	-1096.56	86.86	43.34	0.4340	0.1830	33.50	27.22	29.99	29.64	26.71	-0.0219
