tire_name,file_location,data_file_name,FZ,P,V,SA,IA,SR,corner/brake
Hoosier_18x6.0-10_R20_6,data/round_9/cornering_ascii_si/,B2356run28,L1,P,V_25,S1,I1,const,cornering
Hoosier_18x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run31,L1,P,V_25,S1,I1,const,cornering
Hoosier_18x6.0-10_LCO_6,data/round_6/10_cornering_ascii_si/,B1654run31,L4,P,V3,S2,I2,const,cornering
Hoosier_18x6.0-10_LCO_7,data/round_6/10_cornering_ascii_si/,B1654run33,L4,P,V3,S2,I2,const,cornering
Worn_Hoosier_18x6.0-10_R20_6,data/round_9/cornering_ascii_si/,B2356run29,L1,P,V_25,S1,I1,const,cornering
Worn_Hoosier_18x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run32,L1,P,V_25,S1,I1,const,cornering
Worn_Hoosier_18x6.0-10_LCO_6,data/round_6/10_cornering_ascii_si/,B1654run31,L4,P,V3,S2,I2,const,cornering
Worn_Hoosier_18x6.0-10_LCO_7,data/round_6/10_cornering_ascii_si/,B1654run33,L4,P,V3,S2,I2,const,cornering
Hoosier_16x6.0-10_LCO_6,data/round_8/10_cornering_ascii_si/,B1965run21,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x6.0-10_LCO_7,data/round_8/10_cornering_ascii_si/,B1965run24,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_LCO_7,data/round_8/10_cornering_ascii_si/,B1965run18,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_LCO_8,data/round_8/10_cornering_ascii_si/,B1965run15,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x6.0-10_R20_6,data/round_9/cornering_ascii_si/,B2356run11,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run14,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_R20_7,data/round_9/cornering_ascii_si/,B2356run4,L1,P,V_25,S1,I1,const,cornering
Hoosier_16x7.5-10_R20_8,data/round_9/cornering_ascii_si/,B2356run8,L1,P,V_25,S1,I1,const,cornering
Worn_Hoosier_16x6.0-10_LCO_6,data/round_8/10_cornering_ascii_si/,B1965run22,L2,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x6.0-10_LCO_7,data/round_8/10_cornering_ascii_si/,B1965run25,L2,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x7.5-10_LCO_7,data/round_8/10_cornering_ascii_si/,B1965run19,L2,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x7.5-10_LCO_8,data/round_8/10_cornering_ascii_si/,B1965run16,L2,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x6.0-10_R20_6,data/round_9/cornering_ascii_si/,B2356run12,L1,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x6.0-10_R20_7,data/round_9/cornering_ascii_si/,B2356run15,L1,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x7.5-10_R20_7,data/round_9/cornering_ascii_si/,B2356run6,L1,P,V3,S2,I2,const,cornering
Worn_Hoosier_16x7.5-10_R20_8,data/round_9/cornering_ascii_si/,B2356run9,L1,P,V3,S2,I2,const,cornering
Hoosier_18x7.5-10_R25B_7,data/round_6/10_cornering_ascii_si/,B1654run21,L4,P,V_25,S2,I2,const,cornering
Worn_Hoosier_18x7.5-10_R25B_7,data/round_6/10_cornering_ascii_si/,B1654run22,L4,P,V3,S2,I2,const,cornering
Hoosier_18x7.5-10_R25B_8,data/round_6/10_cornering_ascii_si/,B1654run24,L4,P,V_25,S2,I2,const,cornering
Worn_Hoosier_18x7.5-10_R25B_8,data/round_6/10_cornering_ascii_si/,B1654run25,L4,P,V3,S2,I2,const,cornering
Hoosier_18x7.5-10_R25B_7,data/round_6/10_drivebrake_ascii_si/,B1654run35,L4,P,V_25,S3,I3,const,braking
Hoowiser_20.5x7.0-13_R20,data/round_9/cornering_ascii_si/,B2356run20,L2,P,V_25,S1,I1,const,cornering
