Tire,Spring Rate,P,IA,Nominal Load,CS,CSC,FY-0
Avon 7.0/16.0-10,666,12,0,250,143,0.574,-21
,-      ,,0,200,125,0.623,-16
,-      ,,0,150,102,0.681,-13
,-      ,,0,50,48,0.955,-5
,-      ,,0,250,139,0.555,-22
,-      ,,0,100,74,0.736,-9
,605,,2,200,116,0.58,6
,-      ,,2,150,92,0.612,-2
,-      ,,2,50,40,0.81,-6
,-      ,,2,250,132,0.529,11
,-      ,,2,100,65,0.653,-7
,551,,4,200,101,0.505,21
,-      ,,4,150,78,0.519,8
,-      ,,4,50,34,0.671,-5
,-      ,,4,250,121,0.485,35
,-      ,,4,100,56,0.556,-1
,637,,0,250,139,0.555,-32
,-      ,,0,200,120,0.598,-20
,-      ,,0,150,99,0.658,-14
,-      ,,0,50,46,0.923,-4
,-      ,,0,250,134,0.538,-26
,-      ,,0,100,74,0.738,-9
,566,,2,200,115,0.577,9
,-      ,,2,150,93,0.622,2
,-      ,,2,50,41,0.813,-6
,-      ,,2,250,131,0.525,11
,-      ,,2,100,67,0.672,-5
,505,,4,200,104,0.522,27
,-      ,,4,150,81,0.538,12
,-      ,,4,50,33,0.665,-4
,-      ,,4,250,124,0.496,40
,-      ,,4,100,57,0.568,1
,697,,0,250,132,0.528,-23
,-      ,,0,200,109,0.543,-16
,-      ,,0,150,87,0.581,-11
,-      ,,0,50,39,0.777,-3
,-      ,,0,250,125,0.499,-21
,-      ,,0,100,62,0.618,-7
,639,,2,200,102,0.508,1
,-      ,,2,150,78,0.521,-5
,-      ,,2,50,34,0.684,-4
,-      ,,2,250,121,0.482,5
,-      ,,2,100,55,0.554,-7
,590,,4,200,89,0.446,12
,-      ,,4,150,69,0.459,3
,-      ,,4,50,28,0.567,-4
,-      ,,4,250,111,0.443,23
,-      ,,4,100,49,0.489,-3
Hoosier 43075 16x7.5-10 R25B,558,,0,250,142,0.57,-9
,-      ,,0,200,132,0.661,-9
,-      ,,0,150,115,0.766,-8
,-      ,,0,50,61,1.225,-4
,-      ,,0,250,144,0.575,-9
,-      ,,0,100,93,0.928,-6
,555,,2,200,131,0.653,26
,-      ,,2,150,113,0.75,15
,-      ,,2,50,59,1.187,-2
,-      ,,2,250,139,0.557,35
,-      ,,2,100,89,0.887,4
,528,,4,200,118,0.591,53
,-      ,,4,150,100,0.669,32
,-      ,,4,50,48,0.962,-1
,-      ,,4,250,130,0.519,69
